caseId,receivedDate,caseStatus
YSC1790000336,09/29/2016,Case Was Received
YSC1790000337,11/14/2016,Card Was Mailed To Me
YSC1790000338,12/01/2016,New Card Is Being Produced
YSC1790000339,11/23/2016,Card Was Delivered To Me By The Post Office
YSC1790000340,11/21/2016,Card Was Mailed To Me
YSC1790000341,11/17/2016,Card Was Delivered To Me By The Post Office
YSC1790000342,11/23/2016,Card Was Delivered To Me By The Post Office
YSC1790000343,10/25/2016,Notice Was Returned To USCIS Because The Post Office Could Not Deliver It
YSC1790000344,09/30/2016,Case Was Received
YSC1790000345,09/30/2016,Case Was Received
YSC1790000346,11/30/2016,Case Transferred To Another Office
YSC1790000347,09/30/2016,Case Was Received
YSC1790000348,09/30/2016,Case Was Received
YSC1790000349,09/30/2016,Case Was Received
YSC1790000350,09/29/2016,Case Was Received
YSC1790000351,09/29/2016,Case Was Received
YSC1790000352,09/29/2016,Case Was Received
YSC1790000353,09/29/2016,Case Was Received
YSC1790000354,09/29/2016,Case Was Received
YSC1790000355,09/29/2016,Case Was Received
YSC1790000356,09/29/2016,Case Was Received
YSC1790000357,09/29/2016,Case Was Received
YSC1790000358,09/29/2016,Case Was Received
YSC1790000359,09/29/2016,Case Was Received
YSC1790000360,09/29/2016,Case Was Received
YSC1790000361,09/29/2016,Case Was Received
YSC1790000362,09/29/2016,Case Was Received
YSC1790000363,09/29/2016,Case Was Received
YSC1790000364,09/29/2016,Case Was Received
YSC1790000365,09/29/2016,Case Was Received
YSC1790000366,11/23/2016,Card Was Delivered To Me By The Post Office
YSC1790000367,12/02/2016,New Card Is Being Produced
YSC1790000368,11/14/2016,Card Was Mailed To Me
YSC1790000369,11/21/2016,Card Was Mailed To Me
YSC1790000370,11/22/2016,Card Was Mailed To Me
YSC1790000371,09/29/2016,Case Was Received
YSC1790000372,11/10/2016,Card Was Delivered To Me By The Post Office
YSC1790000373,11/17/2016,Card Was Delivered To Me By The Post Office
YSC1790000374,09/30/2016,Case Was Received
YSC1790000375,09/30/2016,Case Was Received
YSC1790000376,09/30/2016,Case Was Received
YSC1790000377,09/30/2016,Case Was Received
YSC1790000378,09/30/2016,Case Was Received
YSC1790000379,09/30/2016,Case Was Received
YSC1790000380,09/30/2016,Case Was Received
YSC1790000381,09/30/2016,Case Was Received
YSC1790000382,09/30/2016,Case Was Received
YSC1790000383,10/18/2016,Name Was Updated
YSC1790000384,09/30/2016,Case Was Received
YSC1790000385,09/30/2016,Case Was Received
YSC1790000386,09/30/2016,Case Was Received
YSC1790000387,09/30/2016,Case Was Received
YSC1790000388,09/30/2016,Case Was Received
YSC1790000389,09/30/2016,Case Was Received
YSC1790000390,09/30/2016,Case Was Received
YSC1790000391,09/30/2016,Case Was Received
YSC1790000392,09/30/2016,Case Was Received
YSC1790000393,09/30/2016,Case Was Received
YSC1790000394,09/30/2016,Case Was Received
YSC1790000395,10/03/2016,Case Rejected Because I Sent An Incorrect Fee
YSC1790000396,09/30/2016,Case Was Received
YSC1790000397,09/30/2016,Case Was Received
YSC1790000398,09/30/2016,Case Was Received
YSC1790000399,09/30/2016,Case Was Received
YSC1790000400,11/21/2016,Card Was Mailed To Me
YSC1790000401,11/22/2016,Card Was Delivered To Me By The Post Office
YSC1790000402,11/30/2016,Card Was Delivered To Me By The Post Office
YSC1790000403,09/30/2016,Case Was Received
YSC1790000404,11/21/2016,Card Was Mailed To Me
YSC1790000405,11/18/2016,Card Was Delivered To Me By The Post Office
YSC1790000406,09/30/2016,Case Was Received
YSC1790000407,09/30/2016,Case Was Received
YSC1790000408,12/01/2016,New Card Is Being Produced
YSC1790000409,11/03/2016,Request for Initial Evidence Was Mailed
YSC1790000410,11/22/2016,Card Was Delivered To Me By The Post Office
YSC1790000411,11/21/2016,Card Was Mailed To Me
YSC1790000412,11/22/2016,Card Was Delivered To Me By The Post Office
YSC1790000413,11/21/2016,Card Was Mailed To Me
YSC1790000414,12/01/2016,Card Was Mailed To Me
YSC1790000415,09/29/2016,Case Was Received
YSC1790000416,11/22/2016,Card Was Delivered To Me By The Post Office
YSC1790000417,11/23/2016,Card Was Delivered To Me By The Post Office
YSC1790000418,12/01/2016,Card Was Delivered To Me By The Post Office
YSC1790000419,11/23/2016,Card Was Delivered To Me By The Post Office
